rule_id,unit,surface_form,text,marks_genuine_nk
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:62:body,which,"This reverts commit e43660e2363c45d7a35d4ef36246f8866764f5d9.

e43660e2363c45d7a35d4ef36246f8866764f5d9 added a denylist for needrestart to ignore openvoxdb/openvoxserver. Both services write files into /tmp/, which triggered service restarts, that were not required.

Since
https://github.com/puppetlabs/ezbake/pull/623/commits/bf1a75d757b0f5e6ed7db1ddde7dc13e4984649c, both services use the Pr",
morph.syn.embedded_question,commit:1be11d7efafb4e5b46859f66d4a22ad70507d6d1:commit_message,where,"(PDB-1455) Fix pe/foss inconsistencies and bug with using ruby detection in spec/rules.erb

This patch solves an initial bug with ruby detection, but also attempts to find
other cases where PE and FOSS differ by removing as much variation as well.

Lots of incosistencies and bugs were found in this exercise:

* Users created using old FOSS based homedirs
* Removal of log files for FOSS was removin",
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:27:comment_body:9,what,"That makes sense. what is doing what when is confusing, but I don't think that's the fault of your pr :)",
morph.syn.embedded_question,commit:d73bd6b91fc582e1b99200df0dfecf2ceecde533:commit_message,what,Rename generate-terminus-map to be more reflective of what it generates.,
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:5:comment_body:7,if,"This introduced a regression. The systemd units now have:



Turns out: Variable interpolation isn't support for the first arg of . the unit will fail with:



It doesn't matter if the variable is in quotes or not. from  on IRC:



I will fix this in https://github.com/OpenVoxProject/ezbake/pull/2/",
morph.syn.embedded_question,commit:a534154e09c369b68a58f78f66be041aadfab45e:commit_message,when,"(PDB-1034) Honor local-repo for aether requests

The call to aether/resolve-artifacts wasn't honoring our :local-repo
override in our project. This patch will ensure we can use local-repo
and the effects will ripple into aether also.

Without this, when trying to do source based builds using the local
m2-local repositories, it will try and retrieve a copy of your projects
jar from maven for resour",
morph.syn.embedded_question,commit:f7845bffe8b48a458744faeb6ff8859320f34f6d:commit_message,which,"(maint) Ensure expected version and source tarball match for RPM

The rpm spec templates in ezbake had realversion used in the setup macro
(which unpacks the tarball during the build) and the  version
in the Source0 field. This worked as long as realversion == ,
which is no longer the case when maven timestamps were introduced as
part of the version strings. The rpm version has any - replaced with",
morph.neg.bare_modifier,commit:e5a4105a5ab0a329fe010b09291be043ece176c9:commit_message,n't,"Don't hardcode PE in the proj naming

Now that project is being automatically prefixed with PE when desired,
hardcoding it in the control and rules is no longer necessary. This
commit removes them.",
morph.neg.bare_modifier,commit:5fc8557fb045c125844edb9be24eb04f1cfa8a15:commit_message,not,"(EZ-1) Update sysconfig name file to not be replaced on install

This commit adds a  directive to the sysconfig name
file in the RedHat spec erb files.  This allows an upgrade package being
installed to not replace any customizations that a user might have done
to the name file after a previous install.

This commit also has one other minor update to the link to the
""Developing ezbake"" section in ",
morph.neg.bare_modifier,commit:08d0efec4e93960c67e434ce27278b69af8da51d:commit_message,not,"Fix some version strings for compatibility

The packaging tools were making some regex-y assumptions
about how we'd format our version strings.  My previous
stuff for SNAPSHOT versions did not comply with these
assumptions; this commit should hopefully fix that.",
morph.neg.bare_modifier,commit:ec90b8ceacdf80453ef30c9735419c2beb33b21e:commit_message,n't,"(PDB-1455) Correct termini install.sh rubylibdir fallback autodetection

The autodetection routine for AIO pathed Puppet rubylibdir wasn't working.
This showed up when we tried to point our PuppetDB source based tests at a
the ezbake upgrade branch.

This patch adds the Puppet 4/AIO path to PATH when trying to call ruby to
figure out where the terminus belongs.

Signed-off-by: Ken Barber <ken.sh>",
morph.neg.bare_modifier,pr:OpenVoxProject/ezbake:5:comment_body:12,n't,"This introduced a regression. The systemd units now have:



Turns out: Variable interpolation isn't support for the first arg of . the unit will fail with:



It doesn't matter if the variable is in quotes or not. from  on IRC:



I will fix this in https://github.com/OpenVoxProject/ezbake/pull/2/",
morph.neg.bare_modifier,commit:cf1f1f84b67a939d63e6b402a255739af3f2162a:commit_message,not,"(EZ-102) Update EZBake to install SysV + SystemD

This commit updates EZBake to start installing sysv files on newer
systemd based debian-ish systems. The idea being that users should be
able to switch between the older and newer service management tools.
This is a behavior that has already been established in other packages
that are targeted at newer releases.

This commit also updates EZBake to ",
morph.neg.bare_modifier,commit:08cdbc250471bf372c12984f7c5f8968627dc077:commit_message,n't,"(maint) Don't copy dotfiles for config staging

If one were editing a config file and then ran , the dotfile
would be included in the copy that was turned into a project. This would
pose a problem when the Makefile template was evaluated, as it lists all
config files (including dotfiles) to be explicitly copied. The packaging
would then ignore the dotfiles and the build would fail trying to copy a",
morph.neg.bare_modifier,pr:OpenVoxProject/ezbake:8:comment_body:14,n't,"Yep, I think that'd be good.  Testing the openvoxdb package too would be nice, but if the changes work for openvox-server, I don't know why they'd screw up openvoxdb.",
morph.neg.bare_modifier,pr:OpenVoxProject/ezbake:27:comment_body:6,n't,I had  the same question. I don't know where the best place would be and that would also be a bigger change. My goal was to get the packages in any working condition.,
morph.neg.bare_modifier,commit:657d82ae71c966e28c56c18adfda840d071f6c72:commit_message,not,"fpm: Don't set --rpm-rpmbuild-define

under the hood, fpm calls rpmbuild. Under EL9, the fpm option
 worked fine and was set to the version of the
actual package. This was probably never correct. It maps to the rpm
macro . This is supposed to be used for the *rpm* version
used during the build. rpmbuild on EL10 will set 
automatically and fpm cannot provide it as well. We also set the actual
versi",
morph.neg.bare_modifier,commit:1ee868da7dd8207b024c3c3aeaae5dd05a96f632:commit_message,n't,"(EZ-15) Create uberjar during  action.

This is prevents us from having to run the uberjar task within rake or make or
whatever, so then we don't have to worry about passing along the correct
leiningen profile at those points. It's actually pretty difficult to determine
which profiles are in use from within a lein task.",
morph.neg.bare_modifier,pr:OpenVoxProject/ezbake:11:comment_body:11,n't,"I don't know, that's what we usually configure for other vox pupuli projects.",
morph.neg.bare_modifier,commit:4625cd7b439ad893eaadf652b4251dd2313a7a18:commit_message,n't,"(SERVER-369) Update run directory for EL-7

Without this patch the run directory doesn't match the [Puppet
Installation Layout][layout].

[layout]: https://github.com/jeffmccune/puppet-specifications/blob/7880849a739ab7d16555fb58c53d10c788f4b958/file_paths.md",
morph.neg.bare_modifier,commit:873c2d4f93d44f73542d052786c1bd0f730d8899:commit_message,n't,"(maint) remove unnecessary || :

rm -rf won't complain, so don't worry about || :",
morph.neg.bare_modifier,pr:OpenVoxProject/ezbake:16:comment_body:8,n't,"There's a bit of clojure stuff, but I'm not really sure how to properly clean that up :( and I didn't want to break it.",
morph.neg.bare_modifier,commit:1b44a38070fcd690f9bd12819a6b4e1f4b4fce25:commit_message,not,"Add :classpath-jars and :project-files features

When building for FIPS, we need to include the Bouncycastle FIPS jars in
the package, but the code can not be included in the uberjar since they
are signed jars. Therefore, we need to be able to pull down the version
we are building against and then put them in the package.

To do this, we pull the particular jars we are building against directly
fr",
morph.neg.bare_modifier,commit:019cfa43a984780b94983478d3e7c396bb892dd7:commit_message,n't,"(maint) Make default cow precise

We don't want to build packages for stable, so we need to ensure the
default cow is not set to stable. This commit updates the default cow to
be trusty",
morph.neg.bare_modifier,commit:adbda01064307f470fa5003d9a9688f4e26e38cc:commit_message,not,"(SERVER-98) Fix systemd failure

Fix systemd failure that was occurring due to systemd not being
able to parse the TimeoutStopSec variable.",
morph.neg.bare_modifier,pr:OpenVoxProject/ezbake:31:body,not,"Credits to  for doing a lot of the research in this and writing up large parts of the proof of concept. This takes the lessons from https://github.com/OpenVoxProject/ezbake/pull/27 and makes it a bit cleaner by restoring the whole file after running fpm.

This first updates the code to load  from ezbake, if possible.

In https://github.com/OpenVoxProject/ezbake/commit/9768a77de95ff19f66f4b328f",
morph.neg.bare_modifier,commit:c0dc4ab0b32232a105929fe5dd557dc5a6a89fc4:commit_message,not,"Remove Fedora 19 from build targets

Fedora 19 went EOL on 2015-01-06. We should not longer be providing
packages for this platform.",
morph.neg.bare_modifier,commit:9fd20f834007be8e8684737f69a80f4ab9e2c6e8:commit_message,n't,"Drop Debian 11 & 12 support

They don't have Java 21, which is required for OpenVox 9.

Signed-off-by: Tim Meusel <tim.de>",
morph.neg.bare_modifier,commit:102656545335bcb2b54f4da2dd30830e3284c0b8:commit_message,n't,"(EZ-112) Don't start puppetserver until networking comes online
pe-puppetserver has a dependency on the network.target, which ensures that the network is started prior to starting the pe-puppetserver. However, the pe-puppetserver really needs the network to be online prior to starting if it has to do any DNS lookups. Since the service can start prior to the network coming online, it can cause nscd",
morph.neg.bare_modifier,pr:OpenVoxProject/ezbake:37:comment_body:3,n't,"A little bit background: Some time ago the unit file used a wrapper:



This triggered https://github.com/OpenVoxProject/ezbake/blob/adbe61f034bd179e5b4c76bddbd059cb6005794a/resources/puppetlabs/lein-ezbake/template/global/ext/cli/start.erb.

Because it's a sysv leftover, we removed it and the unit now calls java directly. Since openvoxdb/openvox-server don't implement sd_notify, systemd doe",
morph.neg.bare_modifier,commit:4b2d3675a4788c4becd67020edfc38dc6cd07580:commit_message,not,"Update build.rake

the 'build?token=' access method does not work in the latest jenkins core version.
But using the other original case where JENKINS_USER_AUTH=<LDAP username>:<token>
should work",
morph.neg.bare_modifier,commit:19743503674b4ec177787811a02ad4399a18be4b:commit_message,not,"(EZ-39) Update ezbake to use java 8 when available on debian

Ubuntu's vivid release will include a java 8 package, as will debian's
release after jessie. This commit adds java8-runtime-headless as an
option if java7 is not available.",
morph.neg.bare_modifier,commit:c9dfa9e111ab2ed15f5ccde8082d33e51fae3861:commit_message,n't,"Drop Debian <= 7 and Ubuntu <= 14.04 support

This doesn't clean as much since on Debian sysvinit support is installed
even on systemd.

(cherry picked from commit f36f5560fda30613b0dae21f7c1a2c24d20c9117)",
morph.neg.bare_modifier,commit:4d906dbe264cd32766d0c48d33aa8154afbb32df:commit_message,not,"(EZ-49) Should not hard code heap dumps

Currently, we hard code -XX:+HeapDumpOnOutOfMemoryError and -XX:HeapDumpPath.

It's not always desirable to have these on by default. This removes
the settings from the init scripts.

PE-11149 will enable configuration of these settings via puppet.",
morph.neg.bare_modifier,commit:214afef681db3655a04458f3d0f3c852fdd7664d:commit_message,n't,"(PE-6711) Unify logging configs for pe services with the pe-module

This commit updates the logging configs for pe-puppetserver and
pe-console-services to be the configs we intend to use in production so
that we don't need to manage them using puppet or lay down new ones in
the installer. This way when a user need not wait for puppet to run in
order to see logging changes for pe services.",
morph.neg.bare_modifier,commit:c60b90f68ccf3bebbe9a17bb70348661a2a0598e:commit_message,not,"(SERVER-2068) Be more discerning finding PIDs

Previously, the start/stop/reload scripts would use a  to search
for running processes, to determine if the service was still running.
That  would do a simple search for uberjar name.

Turns out, that's not specific enough. In the case of puppetserver, a
user invocation of  will put a process in the
process list that the naive  would finger as the ser",
morph.neg.bare_modifier,commit:5fc8557fb045c125844edb9be24eb04f1cfa8a15:commit_message,not,"(EZ-1) Update sysconfig name file to not be replaced on install

This commit adds a  directive to the sysconfig name
file in the RedHat spec erb files.  This allows an upgrade package being
installed to not replace any customizations that a user might have done
to the name file after a previous install.

This commit also has one other minor update to the link to the
""Developing ezbake"" section in ",
morph.neg.bare_modifier,commit:e5c1f2576218fe765fca2e3290c76d582752af98:commit_message,not,"(maint) adjust sles java requirements

currently puppetserver 7 is not installable on sles > 12 because java 8
is no longer shipped with the OS.",
morph.neg.bare_modifier,commit:7bfab6f5cfd91f07b5c372b1ee44f2746f37fd22:commit_message,not,"(RE-8861) Add managed dependencies to dependency map

Before this commit we were only listing the dependencies which were
listed in the dependencies field which may not include everything. This
commit adds the managed dependencies to the list of dependencies to
consider when building out the dependency map.",
morph.neg.bare_modifier,commit:5ab8404e7fabaac796824fe0018564402d6c612e:commit_message,not,"(MAINT) change deb  args and add an output to reload call
Previously, the reload case would just reload, but now it prints a message
on whether or not it succeeded",
