group,messages_sampled,messages_estimated,top_lang,top_lang_pct,en_pct,year_min,year_max,n_langs
gmane.linux.drivers.video-input-infrastructure,287,14350,en,98.3,98.3,2009,2019,6
gmane.comp.jakarta.turbine.maven.user,286,14300,en,98.6,98.6,2002,2019,5
gmane.comp.mozilla.general,286,14300,en,99.3,99.3,2002,2019,3
gmane.linux.ports.ppc.embedded,285,14250,en,97.9,97.9,2002,2019,6
gmane.linux.skolelinux.cvs,285,14250,en,71.2,71.2,2002,2018,11
gmane.os.freebsd.devel.ports,285,14250,en,93.7,93.7,2002,2019,4
gmane.comp.gdb.patches,284,14200,en,98.9,98.9,2002,2019,4
gmane.comp.version-control.mercurial.devel,281,14050,en,97.2,97.2,2005,2019,6
gmane.linux.scsi,281,14050,en,95.7,95.7,2002,2019,9
gmane.linux.debian.user.portuguese,279,13950,pt,94.3,1.8,2002,2016,8
gmane.linux.mandrake.cooker.commits,278,13900,en,91.7,91.7,2006,2012,12
gmane.comp.lang.smalltalk.pharo.devel,277,13850,en,97.5,97.5,2008,2019,7
gmane.culture.region.indonesia.ppi-india,276,13800,id,76.4,23.2,2005,2018,3
gmane.comp.gdb.testing,274,13700,en,99.6,99.6,2002,2019,2
gmane.comp.java.ofbiz.devel,274,13700,en,78.8,78.8,2008,2018,5
gmane.os.apple.fink.cvs,274,13700,en,89.1,89.1,2002,2019,12
gmane.comp.gnu.lilypond.general,272,13600,en,97.8,97.8,2002,2019,6
gmane.comp.lang.lua.general,271,13550,en,98.2,98.2,1998,2019,4
gmane.comp.crm.arsystem.general,270,13500,en,97.8,97.8,2005,2019,6
gmane.comp.db.mongodb.user,267,13350,en,98.5,98.5,2010,2019,4
gmane.linux.drivers.driver-project.devel,267,13350,en,97.8,97.8,2009,2019,7
gmane.comp.python.cvs,266,13300,en,76.3,76.3,2002,2019,9
gmane.org.region.indonesia.itcenter,266,13300,id,88.0,10.9,2003,2018,5
gmane.comp.emulators.wine.cvs,264,13200,en,83.3,83.3,2002,2019,11
gmane.comp.jakarta.turbine.maven.devel,263,13150,en,90.9,90.9,2002,2019,4
gmane.comp.networking.dpdk.devel,263,13150,en,98.1,98.1,2013,2019,6
